,area_type,location,total_sqft,bath,price,bhk
0,Super built-up  Area,1st Block Jayanagar,2850.0,4.0,428.0,4
1,Super built-up  Area,1st Block Jayanagar,1630.0,3.0,194.0,3
2,Super built-up  Area,1st Block Jayanagar,1875.0,2.0,235.0,3
3,Built-up  Area,1st Block Jayanagar,1200.0,2.0,130.0,3
4,Super built-up  Area,1st Block Jayanagar,1235.0,2.0,148.0,2
5,Super built-up  Area,1st Block Jayanagar,2750.0,4.0,413.0,4
6,Super built-up  Area,1st Block Jayanagar,2450.0,4.0,368.0,4
8,Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,167.0,3
9,Built-up  Area,1st Phase JP Nagar,1500.0,5.0,85.0,5
10,Super built-up  Area,1st Phase JP Nagar,2065.0,4.0,210.0,3
12,Super built-up  Area,1st Phase JP Nagar,2059.0,3.0,225.0,3
13,Super built-up  Area,1st Phase JP Nagar,1394.0,2.0,100.0,2
14,Super built-up  Area,1st Phase JP Nagar,1077.0,2.0,93.0,2
15,Plot  Area,1st Phase JP Nagar,1566.0,2.0,180.0,2
16,Built-up  Area,1st Phase JP Nagar,840.0,2.0,50.0,1
17,Super built-up  Area,1st Phase JP Nagar,1590.0,3.0,131.0,3
18,Super built-up  Area,1st Phase JP Nagar,2180.0,3.0,210.0,3
19,Super built-up  Area,1st Phase JP Nagar,1180.0,2.0,88.5,2
20,Super built-up  Area,1st Phase JP Nagar,1200.0,2.0,86.0,2
21,Built-up  Area,1st Phase JP Nagar,1394.0,2.0,85.0,2
22,Super built-up  Area,1st Phase JP Nagar,2077.0,3.0,175.0,3
24,Super built-up  Area,1st Phase JP Nagar,1205.0,2.0,85.0,2
26,Super built-up  Area,1st Phase JP Nagar,900.0,2.0,75.0,2
27,Super built-up  Area,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
28,Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
29,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
30,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
31,Super built-up  Area,2nd Phase Judicial Layout,900.0,2.0,41.0,2
32,Super built-up  Area,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
33,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
34,Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
35,Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
36,Plot  Area,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
37,Plot  Area,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
38,Plot  Area,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
39,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
40,Plot  Area,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
41,Super built-up  Area,5th Block Hbr Layout,1206.0,2.0,56.0,2
42,Super built-up  Area,5th Block Hbr Layout,1270.0,2.0,70.0,3
43,Super built-up  Area,5th Block Hbr Layout,1312.0,2.0,69.0,2
44,Super built-up  Area,5th Block Hbr Layout,1100.0,2.0,48.0,2
45,Built-up  Area,5th Block Hbr Layout,3600.0,5.0,130.0,5
46,Built-up  Area,5th Block Hbr Layout,5100.0,5.0,300.0,6
47,Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,60.0,2
48,Built-up  Area,5th Phase JP Nagar,1150.0,3.0,52.5,2
49,Built-up  Area,5th Phase JP Nagar,1256.0,2.0,62.8,2
50,Super built-up  Area,5th Phase JP Nagar,1207.0,2.0,63.0,2
51,Built-up  Area,5th Phase JP Nagar,1725.0,2.0,100.0,3
52,Super built-up  Area,5th Phase JP Nagar,1440.0,2.0,60.0,2
53,Built-up  Area,5th Phase JP Nagar,1700.0,2.0,100.0,3
55,Super built-up  Area,5th Phase JP Nagar,2500.0,5.0,110.0,5
56,Built-up  Area,5th Phase JP Nagar,600.0,1.0,30.0,1
57,Super built-up  Area,5th Phase JP Nagar,1390.0,2.0,65.0,2
58,Built-up  Area,5th Phase JP Nagar,1256.0,2.0,62.8,2
59,Super built-up  Area,5th Phase JP Nagar,1000.0,2.0,48.0,2
60,Super built-up  Area,5th Phase JP Nagar,1350.0,2.0,75.0,3
61,Super built-up  Area,5th Phase JP Nagar,552.0,1.0,23.5,1
62,Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,51.0,2
66,Built-up  Area,5th Phase JP Nagar,1030.0,2.0,57.0,2
67,Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,68.0,2
68,Built-up  Area,5th Phase JP Nagar,1190.0,2.0,61.8,2
69,Super built-up  Area,5th Phase JP Nagar,4000.0,5.0,170.0,5
70,Super built-up  Area,5th Phase JP Nagar,1080.0,2.0,53.0,2
71,Super built-up  Area,5th Phase JP Nagar,1041.0,2.0,54.0,2
72,Super built-up  Area,5th Phase JP Nagar,812.0,2.0,42.0,2
73,Built-up  Area,5th Phase JP Nagar,1010.0,2.0,57.0,2
75,Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,60.0,2
76,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,74.0,2
77,Super built-up  Area,6th Phase JP Nagar,1180.0,2.0,80.0,2
78,Super built-up  Area,6th Phase JP Nagar,3245.0,4.0,250.0,4
79,Built-up  Area,6th Phase JP Nagar,1645.0,3.0,100.0,3
80,Built-up  Area,6th Phase JP Nagar,1140.0,2.0,65.0,2
81,Super built-up  Area,6th Phase JP Nagar,2040.0,3.0,200.0,3
82,Super built-up  Area,6th Phase JP Nagar,1213.0,2.0,63.0,2
83,Built-up  Area,6th Phase JP Nagar,1216.0,2.0,60.0,2
84,Super built-up  Area,6th Phase JP Nagar,1460.0,2.0,80.0,2
85,Super built-up  Area,6th Phase JP Nagar,2003.0,3.0,200.0,3
86,Super built-up  Area,6th Phase JP Nagar,1810.0,3.0,131.0,3
87,Super built-up  Area,6th Phase JP Nagar,1515.0,2.0,135.0,3
88,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,75.0,2
89,Super built-up  Area,6th Phase JP Nagar,1280.0,2.0,88.0,2
90,Built-up  Area,7th Phase JP Nagar,1080.0,2.0,72.0,2
91,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,93.0,2
92,Built-up  Area,7th Phase JP Nagar,1420.0,2.0,100.0,3
93,Built-up  Area,7th Phase JP Nagar,1850.0,3.0,150.0,3
94,Built-up  Area,7th Phase JP Nagar,1245.0,2.0,94.0,2
95,Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,82.0,2
96,Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,95.0,3
97,Super built-up  Area,7th Phase JP Nagar,2225.0,3.0,160.0,3
98,Built-up  Area,7th Phase JP Nagar,1050.0,2.0,71.0,2
99,Super built-up  Area,7th Phase JP Nagar,1100.0,2.0,46.0,2
100,Built-up  Area,7th Phase JP Nagar,918.0,2.0,50.49,2
101,Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,100.0,3
102,Super built-up  Area,7th Phase JP Nagar,1190.0,2.0,49.98,2
103,Super built-up  Area,7th Phase JP Nagar,1420.0,2.0,96.0,3
104,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,120.0,3
105,Super built-up  Area,7th Phase JP Nagar,980.0,2.0,69.0,2
106,Super built-up  Area,7th Phase JP Nagar,1180.0,2.0,72.0,2
110,Built-up  Area,7th Phase JP Nagar,1400.0,3.0,115.0,3
111,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,83.0,2
113,Super built-up  Area,7th Phase JP Nagar,2503.0,4.0,188.0,4
114,Super built-up  Area,7th Phase JP Nagar,2200.0,3.0,190.0,3
117,Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,110.0,3
118,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,140.0,3
119,Built-up  Area,7th Phase JP Nagar,1575.0,2.0,120.0,3
120,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,150.0,3
121,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,120.0,3
122,Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,82.5,2
125,Super built-up  Area,7th Phase JP Nagar,1215.0,2.0,90.0,2
126,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,75.0,2
127,Super built-up  Area,7th Phase JP Nagar,1300.0,3.0,89.13,3
128,Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,73.0,2
